dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
pubmed,graphsage,original,2,42,19717,44324,44324,0.761,0.7600683452915372,0.761,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,2,42,19717,44324,44332,0.771,0.7676663288981947,0.771,-0.010000000000000009,-0.007597983606657532,-0.010000000000000009,1.0131406044678055,1.0099964478901475,1.0131406044678055,1.0120925522752529,
pubmed,graphsage,Ange_Modifie_NCC,2,42,19717,44324,100506,0.759,0.7480483379382838,0.759,0.0020000000000000018,0.01202000735325337,0.0020000000000000018,0.9973718791064389,0.9841856230065168,0.9973718791064389,0.9929764604064649,
pubmed,graphsage,Zhou_Pei,2,42,19717,44324,111356,0.748,0.7453571375617877,0.748,0.013000000000000012,0.014711207729749542,0.013000000000000012,0.9829172141918529,0.9806448882907933,0.9829172141918529,0.9821597722248331,
pubmed,graphsage,1HiKDA,2,42,19717,44324,45151,0.762,0.7599179169500093,0.762,-0.0010000000000000009,0.0001504283415278973,-0.0010000000000000009,1.0013140604467805,0.9998020857697077,1.0013140604467805,1.0008100688877564,
pubmed,graphsage,original,2,123,19717,44324,44324,0.751,0.7515385895679961,0.751,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,2,123,19717,44324,44332,0.756,0.754177690798417,0.756,-0.0050000000000000044,-0.0026391012304208816,-0.0050000000000000044,1.0066577896138482,1.0035115977636464,1.0066577896138482,1.0056090589971143,
pubmed,graphsage,Ange_Modifie_NCC,2,123,19717,44324,100506,0.758,0.7462820074388699,0.758,-0.007000000000000006,0.005256582129126275,-0.007000000000000006,1.0093209054593875,0.9930055725652785,1.0093209054593875,1.003882461161351,
pubmed,graphsage,Zhou_Pei,2,123,19717,44324,111356,0.74,0.7361214628639488,0.74,0.01100000000000001,0.01541712670404738,0.01100000000000001,0.9853528628495339,0.9794859147380449,0.9853528628495339,0.9833972134790376,
pubmed,graphsage,1HiKDA,2,123,19717,44324,45145,0.749,0.7491874734805326,0.749,0.0020000000000000018,0.002351116087463523,0.0020000000000000018,0.9973368841544608,0.9968715963223991,0.9973368841544608,0.9971817882104402,
pubmed,graphsage,original,2,2024,19717,44324,44324,0.748,0.7471661927414709,0.748,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,2,2024,19717,44324,44332,0.755,0.7531089835976319,0.755,-0.007000000000000006,-0.0059427908561610066,-0.007000000000000006,1.0093582887700534,1.0079537737572895,1.0093582887700534,1.008890117099132,
pubmed,graphsage,Ange_Modifie_NCC,2,2024,19717,44324,100506,0.75,0.7387880265369678,0.75,-0.0020000000000000018,0.008378166204503046,-0.0020000000000000018,1.0026737967914439,0.9887867434502594,1.0026737967914439,0.998044779011049,
pubmed,graphsage,Zhou_Pei,2,2024,19717,44324,111356,0.751,0.747776998726757,0.751,-0.0030000000000000027,-0.000610805985286067,-0.0030000000000000027,1.0040106951871657,1.0008174968182713,1.0040106951871657,1.0029462957308677,
pubmed,graphsage,1HiKDA,2,2024,19717,44324,45123,0.746,0.745933293120102,0.746,0.0020000000000000018,0.0012328996213688548,0.0020000000000000018,0.9973262032085561,0.9983498990808923,0.9973262032085561,0.9976674351660014,
pubmed,graphsage,original,5,42,19717,44324,44324,0.761,0.7600683452915372,0.761,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,5,42,19717,44324,44346,0.754,0.7536586305465024,0.754,0.007000000000000006,0.006409714745034822,0.007000000000000006,0.9908015768725361,0.9915669231790251,0.9908015768725361,0.9910566923080325,
pubmed,graphsage,Ange_Modifie_NCC,5,42,19717,44324,142616,0.762,0.756666969704099,0.762,-0.0010000000000000009,0.003401375587438249,-0.0010000000000000009,1.0013140604467805,0.9955249082421218,1.0013140604467805,0.9993843430452275,
pubmed,graphsage,Zhou_Pei,5,42,19717,44324,179919,0.734,0.733751768989286,0.734,0.027000000000000024,0.02631657630225126,0.027000000000000024,0.9645203679369251,0.9653760395821285,0.9645203679369251,0.9648055918186595,
pubmed,graphsage,1HiKDA,5,42,19717,44324,45148,0.757,0.7555681764398873,0.757,0.0040000000000000036,0.004500168851649944,0.0040000000000000036,0.9947437582128777,0.9940792576358066,0.9947437582128777,0.9945222580205207,
pubmed,graphsage,original,5,123,19717,44324,44324,0.751,0.7515385895679961,0.751,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,5,123,19717,44324,44346,0.754,0.7539683448144533,0.754,-0.0030000000000000027,-0.002429755246457166,-0.0030000000000000027,1.003994673768309,1.0032330412305959,1.003994673768309,1.003740796255738,
pubmed,graphsage,Ange_Modifie_NCC,5,123,19717,44324,142616,0.764,0.7584996864209815,0.764,-0.013000000000000012,-0.0069610968529854045,-0.013000000000000012,1.0173102529960054,1.0092624609695515,1.0173102529960054,1.014627655653854,
pubmed,graphsage,Zhou_Pei,5,123,19717,44324,179919,0.728,0.7300325447032581,0.728,0.02300000000000002,0.02150604486473806,0.02300000000000002,0.9693741677762983,0.9713839779310597,0.9693741677762983,0.9700441044945521,
pubmed,graphsage,1HiKDA,5,123,19717,44324,45136,0.748,0.7490453276288903,0.748,0.0030000000000000027,0.0024932619391058175,0.0030000000000000027,0.996005326231691,0.9966824565315549,0.996005326231691,0.9962310363316457,
pubmed,graphsage,original,5,2024,19717,44324,44324,0.748,0.7471661927414709,0.748,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,5,2024,19717,44324,44346,0.749,0.7483965953835409,0.749,-0.0010000000000000009,-0.001230402642069972,-0.0010000000000000009,1.0013368983957218,1.0016467589861842,1.0013368983957218,1.0014401852592092,
pubmed,graphsage,Ange_Modifie_NCC,5,2024,19717,44324,142616,0.766,0.7596946771322894,0.766,-0.018000000000000016,-0.01252848439081855,-0.018000000000000016,1.0240641711229947,1.0167680022363559,1.0240641711229947,1.0216321148274485,
pubmed,graphsage,Zhou_Pei,5,2024,19717,44324,179919,0.722,0.7175421720361296,0.722,0.026000000000000023,0.029624020705341314,0.026000000000000023,0.9652406417112299,0.9603514974404207,0.9652406417112299,0.9636109269542935,
pubmed,graphsage,1HiKDA,5,2024,19717,44324,45116,0.745,0.7454759584145548,0.745,0.0030000000000000027,0.0016902343269160625,0.0030000000000000027,0.9959893048128342,0.9977378067378634,0.9959893048128342,0.9965721387878439,
pubmed,graphsage,original,10,42,19717,44324,44324,0.761,0.7600683452915372,0.761,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,10,42,19717,44324,44468,0.754,0.7512557483722014,0.754,0.007000000000000006,0.00881259691933578,0.007000000000000006,0.9908015768725361,0.988405520406253,0.9908015768725361,0.9900028913837752,
pubmed,graphsage,Ange_Modifie_NCC,10,42,19717,44324,156820,0.758,0.7476994833316674,0.758,0.0030000000000000027,0.012368861959869859,0.0030000000000000027,0.9960578186596584,0.98372664506226,0.9960578186596584,0.9919474274605257,
pubmed,graphsage,Zhou_Pei,10,42,19717,44324,191335,0.728,0.7279848402013118,0.728,0.03300000000000003,0.032083505090225395,0.03300000000000003,0.9566360052562417,0.9577886577056183,0.9566360052562417,0.9570202227393673,
