dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
pubmed,graphsage,2,1HiKDA,0.7523333333333334,0.751679561183548,0.7523333333333334,0.0010000000000000009,0.001244814683453425,0.0010000000000000009,0.9986590492699324,0.998341193724333,0.9986590492699324,0.9985530974213993
pubmed,graphsage,2,Ange_Modifie_NCC,0.7353333333333333,0.7348610404907596,0.7353333333333333,0.018000000000000016,0.018063335376241718,0.018000000000000016,0.9761944710464819,0.9760884719993684,0.9761944710464819,0.9761591380307775
pubmed,graphsage,2,Ange_Original,0.7606666666666667,0.7583176677647478,0.7606666666666667,-0.00733333333333334,-0.005393291897746473,-0.00733333333333334,1.0097188942839024,1.0071539398036944,1.0097188942839024,1.0088639094571663
pubmed,graphsage,2,Zhou_Pei,0.7463333333333333,0.7430851997174978,0.7463333333333333,0.007000000000000006,0.009839176149503618,0.007000000000000006,0.9907602574095176,0.9869827666157032,0.9907602574095176,0.9895010938115795
pubmed,graphsage,2,original,0.7533333333333333,0.7529243758670013,0.7533333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,graphsage,5,1HiKDA,0.75,0.7500298208277775,0.75,0.003333333333333336,0.0028945550392239414,0.003333333333333336,0.995579463085801,0.9961665069684082,0.995579463085801,0.9957751443800035
pubmed,graphsage,5,Ange_Modifie_NCC,0.7353333333333333,0.7351795417673562,0.7353333333333333,0.018000000000000016,0.017744834099645296,0.018000000000000016,0.976170344958934,0.9764938564374077,0.976170344958934,0.9762781821184253
pubmed,graphsage,5,Ange_Original,0.7523333333333334,0.7520078569148322,0.7523333333333334,0.0010000000000000009,0.0009165189521692282,0.0010000000000000009,0.9987110496788557,0.9988155744652684,0.9987110496788557,0.9987458912743267
pubmed,graphsage,5,Zhou_Pei,0.7280000000000001,0.7271088285762245,0.7280000000000001,0.025333333333333357,0.02581554729077688,0.025333333333333357,0.9663783924748177,0.9657038383178697,0.9663783924748177,0.9661535410891684
pubmed,graphsage,5,original,0.7533333333333333,0.7529243758670013,0.7533333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,graphsage,10,1HiKDA,0.751,0.7505244770612194,0.751,0.0023333333333333353,0.0023998988057819894,0.0023333333333333353,0.9968859108829345,0.996796692975125,0.9968859108829345,0.9968561715803314
pubmed,graphsage,10,Ange_Modifie_NCC,0.7423333333333333,0.7393415609181995,0.7423333333333333,0.01100000000000001,0.013582814948801944,0.01100000000000001,0.9854108836689791,0.9819786095197031,0.9854108836689791,0.9842667922858871
pubmed,graphsage,10,Ange_Original,0.7506666666666666,0.7472609037895012,0.7506666666666666,0.002666666666666669,0.005663472077500213,0.002666666666666669,0.9964900063165888,0.9924988197239059,0.9964900063165888,0.9951596107856945
pubmed,graphsage,10,Zhou_Pei,0.7333333333333334,0.7353483154709286,0.7333333333333334,0.020000000000000018,0.017576060396072735,0.020000000000000018,0.9735470725192811,0.9767610324762436,0.9735470725192811,0.9746183925049352
pubmed,graphsage,10,original,0.7533333333333333,0.7529243758670013,0.7533333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,graphsage,50,1HiKDA,0.7463333333333333,0.7459902434263533,0.7463333333333333,0.007000000000000006,0.006934132440648111,0.007000000000000006,0.9906653452984505,0.9907619139838005,0.9906653452984505,0.9906975348602339
pubmed,graphsage,50,Ange_Modifie_NCC,0.7266666666666666,0.7274949019696004,0.7266666666666666,0.02666666666666669,0.02542947389740095,0.02666666666666669,0.9645760916278379,0.9662110519391506,0.9645760916278379,0.9651210783982753
pubmed,graphsage,50,Ange_Original,0.763,0.7608780898928916,0.763,-0.009666666666666676,-0.007953714025890216,-0.009666666666666676,1.0128585855456482,1.0105827184910454,1.0128585855456482,1.0120999631941139
pubmed,graphsage,50,Zhou_Pei,0.7183333333333333,0.7172095763882984,0.7183333333333333,0.03500000000000003,0.03571479947870304,0.03500000000000003,0.9535468851309821,0.952561725050859,0.9535468851309821,0.9532184984376076
pubmed,graphsage,50,original,0.7533333333333333,0.7529243758670013,0.7533333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0
