dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
cora,gat,2,1HiKDA,0.7893333333333334,0.7837784895643535,0.7893333333333334,0.014666666666666642,0.013912668606907505,0.014666666666666642,0.9818879331521945,0.9825987279158875,0.9818879331521945,0.9821248647400922
cora,gat,2,Ange_Modifie_NCC,0.548,0.5334358532584594,0.548,0.25599999999999995,0.2642553049128016,0.25599999999999995,0.681844788027199,0.6687960651699809,0.681844788027199,0.6774952137414596
cora,gat,2,Ange_Original,0.8123333333333335,0.8060915080049869,0.8123333333333335,-0.00833333333333334,-0.008400349833725803,-0.00833333333333334,1.0104481966909582,1.0105431067866253,1.0104481966909582,1.0104798333895137
cora,gat,2,Zhou_Pei,0.5326666666666667,0.5171677171847516,0.5326666666666667,0.2713333333333333,0.2805234409865094,0.2713333333333333,0.6624546823816289,0.6482751870544174,0.6624546823816289,0.657728183939225
cora,gat,2,original,0.8039999999999999,0.797691158171261,0.8039999999999999,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,gat,5,1HiKDA,0.761,0.7581679509376383,0.761,0.043000000000000003,0.03952320723362257,0.043000000000000003,0.9465740974376672,0.9504615716104753,0.9465740974376672,0.9478699221619366
cora,gat,5,Ange_Modifie_NCC,0.4206666666666667,0.39827147952411096,0.4206666666666667,0.3833333333333333,0.39941967864715,0.3833333333333333,0.522968074724662,0.49909096931926894,0.522968074724662,0.5150090395895309
cora,gat,5,Ange_Original,0.7973333333333334,0.7931568636047279,0.7973333333333334,0.006666666666666636,0.0045342945665329815,0.006666666666666636,0.9918805975186004,0.9943646851696051,0.9918805975186004,0.992708626735602
cora,gat,5,Zhou_Pei,0.4323333333333333,0.40213591388044945,0.4323333333333333,0.37166666666666665,0.3955552442908116,0.37166666666666665,0.5379889008283799,0.504247840819596,0.5379889008283799,0.5267418808254519
cora,gat,5,original,0.8039999999999999,0.797691158171261,0.8039999999999999,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,gat,10,1HiKDA,0.7663333333333333,0.7586335716317828,0.7663333333333333,0.03766666666666666,0.03905758653947814,0.03766666666666666,0.9534639183895686,0.9511755448352465,0.9534639183895686,0.9527011272047945
cora,gat,10,Ange_Modifie_NCC,0.383,0.3570697111682364,0.383,0.421,0.4406214470030247,0.421,0.47635529423403417,0.44758241388026315,0.47635529423403417,0.4667643341161105
cora,gat,10,Ange_Original,0.8126666666666668,0.803855974438239,0.8126666666666668,-0.008666666666666675,-0.006164816266978031,-0.008666666666666675,1.0108760583948255,1.007748765383394,1.0108760583948255,1.0098336273910151
cora,gat,10,Zhou_Pei,0.38800000000000007,0.37639624532156435,0.38800000000000007,0.416,0.4212949128496966,0.416,0.48252097959771295,0.47182085901277837,0.48252097959771295,0.47895427273606805
cora,gat,10,original,0.8039999999999999,0.797691158171261,0.8039999999999999,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,gat,50,1HiKDA,0.7373333333333333,0.7326989765928014,0.7373333333333333,0.0666666666666667,0.06499218157845958,0.0666666666666667,0.9171155523964983,0.9184985353730225,0.9171155523964983,0.9175765467220064
cora,gat,50,Ange_Modifie_NCC,0.48233333333333334,0.4555499615239384,0.48233333333333334,0.3216666666666667,0.3421411966473226,0.3216666666666667,0.5999846345614328,0.5710992551368316,0.5999846345614328,0.5903561747532324
cora,gat,50,Ange_Original,0.8043333333333335,0.7994012881252109,0.8043333333333335,-0.00033333333333333365,-0.0017101299539499237,-0.00033333333333333365,1.0004662111439655,1.0021535499166843,1.0004662111439655,1.0010286574015383
cora,gat,50,Zhou_Pei,0.5116666666666667,0.49806341312477764,0.5116666666666667,0.29233333333333333,0.2996277450464833,0.29233333333333333,0.6364537523716186,0.6243335437407019,0.6364537523716186,0.6324136828279797
cora,gat,50,original,0.8039999999999999,0.797691158171261,0.8039999999999999,0.0,0.0,0.0,1.0,1.0,1.0,1.0
