dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
cora,graphsage,original,2,42,2708,5278,5278,0.798,0.7898313288973381,0.798,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,graphsage,Ange_Original,2,42,2708,5278,5323,0.794,0.7866784801330369,0.794,0.0040000000000000036,0.0031528487643012193,0.0040000000000000036,0.9949874686716792,0.9960081999169331,0.9949874686716792,0.9953277124200972,
cora,graphsage,Ange_Modifie_NCC,2,42,2708,5278,11842,0.755,0.7470246358513929,0.755,0.04300000000000004,0.0428066930459452,0.04300000000000004,0.9461152882205514,0.9458027410666193,0.9461152882205514,0.9460111058359074,
cora,graphsage,Zhou_Pei,2,42,2708,5278,13205,0.606,0.5963338756724228,0.606,0.19200000000000006,0.1934974532249153,0.19200000000000006,0.7593984962406014,0.7550142085462072,0.7593984962406014,0.7579370670091367,
cora,graphsage,1HiKDA,2,42,2708,5278,6039,0.76,0.7566663969478358,0.76,0.038000000000000034,0.03316493194950232,0.038000000000000034,0.9523809523809523,0.9580101083154008,0.9523809523809523,0.954257337692435,
cora,graphsage,original,2,123,2708,5278,5278,0.781,0.7797556932229436,0.781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,graphsage,Ange_Original,2,123,2708,5278,5323,0.781,0.7786013478942546,0.781,0.0,0.001154345328688966,0.0,1.0,0.9985196064116983,1.0,0.9995065354705662,
cora,graphsage,Ange_Modifie_NCC,2,123,2708,5278,11842,0.735,0.7297195877837054,0.735,0.04600000000000004,0.0500361054392382,0.04600000000000004,0.9411011523687579,0.9358310482704842,0.9411011523687579,0.9393444510026666,
cora,graphsage,Zhou_Pei,2,123,2708,5278,13205,0.622,0.6076639779594247,0.622,0.15900000000000003,0.17209171526351885,0.15900000000000003,0.7964148527528809,0.7793004696737554,0.7964148527528809,0.7907100583931724,
cora,graphsage,1HiKDA,2,123,2708,5278,6040,0.763,0.7619405532664663,0.763,0.018000000000000016,0.01781513995647732,0.018000000000000016,0.9769526248399487,0.9771529209580472,0.9769526248399487,0.9770193902126483,
cora,graphsage,original,2,2024,2708,5278,5278,0.787,0.7781072521516437,0.787,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,graphsage,Ange_Original,2,2024,2708,5278,5323,0.792,0.7828848127279429,0.792,-0.0050000000000000044,-0.004777560576299189,-0.0050000000000000044,1.0063532401524777,1.0061399769287436,1.0063532401524777,1.006282152411233,
cora,graphsage,Ange_Modifie_NCC,2,2024,2708,5278,11842,0.752,0.7406301999367219,0.752,0.03500000000000003,0.03747705221492181,0.03500000000000003,0.9555273189326556,0.9518356214888253,0.9555273189326556,0.9542967531180455,
cora,graphsage,Zhou_Pei,2,2024,2708,5278,13205,0.641,0.6329140005326312,0.641,0.14600000000000002,0.14519325161901242,0.14600000000000002,0.8144853875476493,0.8134020069630247,0.8144853875476493,0.8141242606861078,
cora,graphsage,1HiKDA,2,2024,2708,5278,6044,0.774,0.7679636234280105,0.774,0.013000000000000012,0.010143628723633169,0.013000000000000012,0.9834815756035578,0.9869637139409976,0.9834815756035578,0.9846422883827044,
cora,graphsage,original,5,42,2708,5278,5278,0.798,0.7898313288973381,0.798,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
