dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
citeseer,node2vec_logreg,2,1HiKDA,0.428,0.41871440604219545,0.428,0.07166666666666667,0.0670492974062143,0.07166666666666667,0.856502117558251,0.8620142139798631,0.856502117558251,0.8583394830321217
citeseer,node2vec_logreg,2,Ange_Modifie_NCC,0.29066666666666663,0.28579039303352305,0.29066666666666663,0.209,0.19997331041488672,0.209,0.5820965964531352,0.5886355642098621,0.5820965964531352,0.5842762523720441
citeseer,node2vec_logreg,2,Ange_Original,0.49866666666666665,0.4838405227753894,0.49866666666666665,0.0010000000000000009,0.001923180673020312,0.0010000000000000009,0.9980309733760868,0.996063962978582,0.9980309733760868,0.9973753032435854
citeseer,node2vec_logreg,2,Zhou_Pei,0.306,0.30134763415690197,0.306,0.19366666666666665,0.18441606929150775,0.19366666666666665,0.6124693330342273,0.6204214779550244,0.6124693330342273,0.6151200480078264
citeseer,node2vec_logreg,2,original,0.4996666666666667,0.4857637034484097,0.4996666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,node2vec_logreg,5,1HiKDA,0.439,0.43078699394803954,0.439,0.06066666666666667,0.0549767095003702,0.06066666666666667,0.878714988442692,0.8871240657388763,0.878714988442692,0.8815180142080866
citeseer,node2vec_logreg,5,Ange_Modifie_NCC,0.26866666666666666,0.2547009680758632,0.26866666666666666,0.231,0.2310627353725466,0.231,0.5373782617629809,0.5242374504457171,0.5373782617629809,0.532997991323893
citeseer,node2vec_logreg,5,Ange_Original,0.4916666666666667,0.47882746763385176,0.4916666666666667,0.008000000000000007,0.006936235814557989,0.008000000000000007,0.9839524455812351,0.9856976376728926,0.9839524455812351,0.9845341762784542
citeseer,node2vec_logreg,5,Zhou_Pei,0.258,0.24975745799387736,0.258,0.24166666666666667,0.2360062454545324,0.24166666666666667,0.5165486167217533,0.5144240239996329,0.5165486167217533,0.5158404191477132
citeseer,node2vec_logreg,5,original,0.4996666666666667,0.4857637034484097,0.4996666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,node2vec_logreg,10,1HiKDA,0.43333333333333335,0.4236396274658952,0.43333333333333335,0.06633333333333334,0.062124075982514515,0.06633333333333334,0.8676489785000295,0.8727635287237927,0.8676489785000295,0.8693538285746172
citeseer,node2vec_logreg,10,Ange_Modifie_NCC,0.24,0.22906480845106078,0.24,0.25966666666666666,0.25669889499734894,0.25966666666666666,0.48022684544490923,0.4714888039364209,0.48022684544490923,0.4773141649420798
citeseer,node2vec_logreg,10,Ange_Original,0.49366666666666664,0.48056425971534206,0.49366666666666664,0.006000000000000005,0.005199443733067725,0.006000000000000005,0.9879608637958187,0.9892487113466689,0.9879608637958187,0.9883901463127688
citeseer,node2vec_logreg,10,Zhou_Pei,0.236,0.2288442088735733,0.236,0.26366666666666666,0.2569194945748365,0.26366666666666666,0.47238949609486464,0.4712021537503426,0.47238949609486464,0.4719937153133573
citeseer,node2vec_logreg,10,original,0.4996666666666667,0.4857637034484097,0.4996666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,node2vec_logreg,50,1HiKDA,0.419,0.4114345183713552,0.419,0.08066666666666668,0.07432918507705451,0.08066666666666668,0.8389786474008574,0.847681350479543,0.8389786474008574,0.8418795484270859
citeseer,node2vec_logreg,50,Ange_Modifie_NCC,0.24733333333333332,0.24021374069263426,0.24733333333333332,0.25233333333333335,0.24554996275577548,0.25233333333333335,0.49482002300232314,0.4944762556952103,0.49482002300232314,0.4947054338999522
citeseer,node2vec_logreg,50,Ange_Original,0.4816666666666667,0.47410497869367524,0.4816666666666667,0.018,0.011658724754734543,0.018,0.9639212095035686,0.9758672706459444,0.9639212095035686,0.9679032298843606
citeseer,node2vec_logreg,50,Zhou_Pei,0.22866666666666668,0.22537181058080125,0.22866666666666668,0.271,0.2603918928676085,0.271,0.45766383412249684,0.46397925244616167,0.45766383412249684,0.45976897356371843
citeseer,node2vec_logreg,50,original,0.4996666666666667,0.4857637034484097,0.4996666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
